District,Block,Gram Panchayat,Village,Habitation,New Location,PWS Scheme Code,PWS Scheme Name,Latitude,Longitude,Sample Id,Fluoride (mg/l)in TW water sample ,Total Coliform (CFU/100ml) in TW water sample 
PURULIA,ARSHA,SIRKABAD,SENABANA,SENABONA,NO,,,23.2858574,86.2316063,2020250,,0
PURULIA,ARSHA,SIRKABAD,SENABANA,SENABONA,NO,,,23.2856567,86.2319919,2020249,,0
PURULIA,ARSHA,SIRKABAD,KULTANR ALIAS PAHARPUR,KULTER,NO,,,23.2789069,86.2237672,2020248,,0
PURULIA,ARSHA,SIRKABAD,SIRKABAD,SHIRKABAD,NO,,,23.2768866,86.1979511,2020241,,0
PURULIA,ARSHA,SIRKABAD,GURAHATA,GURAHATA,NO,,,23.2672525,86.2053408,2020264,,0
PURULIA,JHALDA - II,CHITMU,BARAROLA,BARAROLLA,NO,,,23.4501383,86.0339283,0320331,,0
PURULIA,JHALDA - II,CHITMU,BARAROLA,BARAROLLA,NO,,,23.4507167,86.034165,0320330,,0
PURULIA,JHALDA - II,CHITMU,BARAROLA,BARAROLLA,NO,,,23.44856,86.03518,0320328,,0
PURULIA,JHALDA - II,CHITMU,BARAROLA,BARAROLLA,NO,,,23.4483779,86.0333447,0320327,,0
PURULIA,JHALDA - II,CHITMU,BARAROLA,BARAROLLA,NO,,,23.4485417,86.0334517,0320326,,0
PURULIA,JHALDA - II,CHITMU,BARAROLA,BARAROLLA,NO,,,23.4497167,86.0317917,320325,,60
PURULIA,JHALDA - II,CHITMU,BARAROLA,BARAROLLA,NO,,,23.4497367,86.0313633,0320324,,0
PURULIA,JHALDA - II,CHITMU,BARAROLA,BARAROLLA,NO,,,23.4493967,86.031655,0320323,,0
PURULIA,JHALDA - II,CHITMU,BARAROLA,BARAROLLA,NO,,,23.4482711,86.031274,320322,,80
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,BANDA,BAMDA,NO,,,23.6072034,86.5521502,2010198,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,BANDA,BAMDA,NO,,,23.6070318,86.5534942,2010206,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,MADHUTATI ALIAS MAUTOR,MOUTAR,NO,,,23.5866917,86.57876,2010205,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,BANDA,BAMDA,NO,,,23.5930313,86.566765,2010204,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,BANDA,BAMDA,NO,,,23.5959333,86.566255,2010202,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,BANDA,BAMDA,NO,,,23.6077458,86.553907,2010196,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,DHANARA,DHANARA,NO,,,23.57067,86.5642833,2010192,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,DHANARA,DHANARA,NO,,,23.5723399,86.5623499,2010190,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,DHANARA,DHANARA,NO,,,23.5698367,86.5671848,2010188,,0
